Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value,LESS_LOOKUP_RULE_POSITION
3,0.7960975609756098,1,0.11149825783972125,0.7804878048780488,15,54,0.012091742838679663,11,1,134,153,37,23,3,0.3874085425206132,0.002877583800841986,3
0,0.0,0,0,0.0,12,86,0.004256518786240325,10,1,297,121,31,15,10,0.489196866290877,0.007559130862995548,6
1,0.0,0,0,0.0,15,121,0.010764830070879576,12,1,160,168,12,29,11,0.635463262401058,0.005769324597049612,7
2,0.0,0,0,0.0,5,100,0.008258873203104783,8,1,266,144,31,38,14,0.46813043910464935,0.0020633563964242525,9
