iter	Logloss
0	0.3159827461
1	0.1740119452
2	0.1018422471
3	0.06163579118
4	0.03852962787
5	0.02512682452
6	0.01700698404
7	0.01206646134
8	0.009455700323
9	0.007749989634
10	0.006597459839
11	0.006130825211
12	0.005518232394
13	0.005410827153
14	0.005099172054
15	0.005047034452
16	0.004882820048
17	0.004679150641
18	0.004642092273
19	0.004623424571
20	0.00460403664
21	0.004567048668
22	0.004440724339
23	0.004405877968
24	0.004378456398
25	0.004351350608
26	0.0043089737
27	0.004290945583
28	0.004266346838
29	0.00423873694
30	0.004212803511
31	0.004139795745
32	0.004109335311
33	0.004083191897
34	0.004012168943
35	0.003996024493
36	0.003983051521
37	0.003965970672
38	0.003903768441
39	0.003887270653
40	0.003874730226
41	0.003863733435
42	0.003856735511
43	0.003850987961
44	0.003831111447
45	0.003799215713
46	0.003790956049
47	0.003782242714
48	0.003745362424
49	0.003737914041
50	0.003715608928
51	0.003693486615
52	0.003645594826
53	0.003637701354
54	0.003631049572
55	0.003622883756
56	0.003619360511
57	0.003608018496
58	0.003554360416
59	0.003529645763
60	0.003516816447
61	0.003512368712
62	0.003507588046
63	0.00346869689
64	0.003459368467
65	0.003444872079
66	0.003440353488
67	0.003432370424
68	0.003427227706
69	0.003425308291
70	0.003387859316
71	0.003374441931
72	0.003361627925
73	0.003357593599
74	0.003350811921
75	0.003335318404
76	0.003332210661
77	0.003315203351
78	0.003311252188
79	0.003308650664
80	0.003305788373
81	0.003296802619
82	0.003294774716
83	0.003288354144
84	0.003283545615
85	0.00328142613
86	0.003270175479
87	0.003254688053
88	0.003247471825
89	0.003227040024
90	0.003218032919
91	0.003216410137
92	0.003210935981
93	0.003207134816
94	0.003202768293
95	0.003194613161
96	0.003189786536
97	0.003186075723
98	0.003174307072
99	0.003156701753
