Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value,LESS_LOOKUP_RULE_POSITION
53,1.1,5,0.14686635384127691,1.0,9,55,0.0020003739411365187,13,1,197,132,31,24,4,0.2188066162190908,0.008407437448766054,4
61,1.1,5,0.14639230920914875,1.0,7,81,0.0018192569093482156,11,1,210,150,30,29,5,0.22838588766386164,0.009480248766242084,5
62,1.1,5,0.15561782046294564,1.0,9,40,0.0017753874939715828,8,1,291,161,30,30,5,0.2178183608952148,0.009254653919792149,5
64,1.1,5,0.1624784512002161,1.0,9,43,0.0016443737911012299,11,1,247,182,34,35,5,0.2347547502143744,0.002730172856580509,5
66,1.1,5,0.07455064257697315,1.0,8,88,0.003616902553679312,8,1,195,137,29,19,5,0.21459133379919285,0.009726859285530512,5
69,1.1,5,0.07764451941674805,1.0,8,42,0.0035392491770165294,8,1,194,136,28,27,5,0.12801364011471666,0.009959546348230756,6
75,1.1,5,0.08915132767220595,1.0,6,42,0.0026331185729068386,11,1,172,126,31,29,4,0.13092615027041596,0.009432940347816353,5
87,1.1,5,0.07153125384801949,1.0,5,43,0.003955503319397913,5,1,215,152,32,35,5,0.16893379034830794,0.009950810926849917,5
88,1.1,5,0.1006649213916146,1.0,6,67,0.0024874890230295894,12,1,292,152,32,35,4,0.20178156253777874,0.00995093282611149,5
95,1.1,5,0.10977286950455767,1.0,4,59,0.0024633341678521573,12,1,276,160,33,35,4,0.23245663570264086,0.009570372581075716,5
98,1.1,5,0.11080321039842773,1.0,6,60,0.002468403760475201,11,1,252,143,30,17,4,0.15664531632262638,0.008471969783821962,5
27,1.08,4,0.23609011033317995,1.0,12,160,0.0010665882392548566,7,1,274,138,32,37,6,0.4698165478745779,0.003277668796114626,4
28,1.08,4,0.25069643664146674,1.0,12,43,0.0010637120974434683,6,1,217,150,31,36,6,0.17367276722994848,0.0012261183220186752,4
36,1.08,4,0.23727642861257278,1.0,11,34,0.0012521972660651292,9,1,246,156,36,38,6,0.24396761629791708,0.0015491645450481173,4
38,1.08,4,0.2708686335982432,1.0,11,48,0.001050093524759341,14,1,281,169,35,33,6,0.39843693651784706,0.0035529440395280464,4
39,1.08,4,0.25432840191211276,1.0,11,53,0.0010064552252302737,7,1,279,197,31,6,6,0.24686440633863715,0.0041335189814667205,4
41,1.08,4,0.25675046660341855,1.0,11,50,0.0010336667273833401,14,1,240,176,39,33,7,0.24651361579903794,0.004404490927404734,4
49,1.08,4,0.14583113393277006,1.0,12,71,0.002183276206811522,20,1,258,147,37,21,6,0.21774804456988284,0.0006959722848852057,3
52,1.08,4,0.15650727056987218,1.0,9,80,0.0022872104670446608,5,1,205,132,31,24,4,0.3424813082938064,0.000829081212907986,4
54,1.08,4,0.24898033355095212,1.0,11,54,0.001105403143734216,6,1,198,172,40,24,7,0.2666564559683776,0.004922774892448181,4
56,1.08,4,0.24932258443767266,1.0,11,55,0.0012634380691296737,13,1,270,173,39,33,7,0.268351057260605,0.005235851730006783,4
57,1.08,4,0.2309686547475104,1.0,10,197,0.0011114891858456997,13,1,225,171,33,12,3,0.15298436784118047,0.008630509451706589,4
58,1.08,4,0.12211727709369256,1.0,11,39,0.0028732626079998724,13,1,224,58,32,14,3,0.14849987646309398,0.00774370227994471,4
59,1.08,4,0.11501705081359459,1.0,10,195,0.002821209706704549,7,1,181,80,33,12,3,0.27403737576320425,0.008051128553995047,4
65,1.08,4,0.1936759046088031,1.0,8,51,0.0017828103341710243,14,1,242,183,29,40,5,0.22264731595311948,0.004197473777056773,3
68,1.08,4,0.07636231300572742,1.0,8,84,0.0035759185310299414,8,1,211,149,28,26,5,0.2245054000295282,0.009743064912709964,6
72,1.08,4,0.11924503131786987,1.0,6,104,0.0026883092161105785,11,1,174,120,17,22,4,0.163259467653344,0.009259406755059612,5
77,1.08,4,0.18904064311703112,1.0,9,42,0.0017604351309104752,6,1,177,144,30,29,5,0.13271494500527534,0.008580385359222304,5
78,1.08,4,0.17874500306059632,1.0,8,130,0.001788341333650915,6,1,183,143,29,30,5,0.1278351459260652,0.008715623737770342,7
79,1.08,4,0.17136842122360127,1.0,9,31,0.0018143218393020229,6,1,145,108,29,29,5,0.13261906890250874,0.008902766852126627,7
85,1.08,4,0.08784467608094418,1.0,7,77,0.0025202673658815083,19,1,215,135,31,35,5,0.18413085332687493,0.009633142042651307,5
