Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value,LESS_LOOKUP_RULE_POSITION
0,1.308170731707317,3,0.026812901606332432,1.0,10,138,0.013572401248726322,10,1,220,75,16,7,6,0.38750700276484373,0.008429414506700948,9
3,1.2940243902439026,4,0.09822743479135539,1.0,13,189,0.0030406289412537382,8,1,240,110,39,21,6,0.28804260178241275,0.009578692055443327,8
1,1.02,1,0.001727485630620034,1.0,15,143,0.00914161102286459,11,1,59,112,33,14,14,0.7404139440929263,0.006573839464406191,9
2,1.02,1,0.001727485630620034,1.0,14,167,0.01801669032785844,6,1,161,124,16,30,8,0.2650127814204939,0.0006695305561571642,5
