Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value,LESS_LOOKUP_RULE_POSITION
3,1.3208536585365853,4,0.08226226044751027,1.0,9,64,0.0043873493665072,14,1,156,78,21,19,4,0.499615726784693,0.0051447247757652565,8
2,1.3013414634146343,4,0.17423978765247852,1.0,9,80,0.0018593941903229745,15,1,199,100,27,25,8,0.6551184862948162,0.0014073913994852485,9
0,1.04,2,0.04378353388510552,1.0,7,150,0.01538023802774878,5,1,288,147,16,19,9,0.1669870282642844,0.007060015169255393,4
1,1.02,1,0.001727485630620034,1.0,15,86,0.015555977064983937,6,1,86,119,35,24,12,0.5886912143572003,0.005084846545209476,5
