Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value
5,1.0953539559785843,3,0.03335017664331942,0.8495934959349594,6,145,0.008542254298598215,6,3,133,126,20,20,5,0.28344145059775827,0.006601075963242943
13,1.0897798929208804,4,0.2327966098711206,0.8292682926829268,12,143,0.0013198905144561277,17,3,92,131,21,26,3,0.3572408666281669,0.007649524005990621
24,1.0795575550267698,3,0.29665469196040833,0.8353658536585366,8,123,0.0013348001801645115,8,2,89,103,29,13,5,0.5255489464979735,0.00427219148123732
8,1.0571505056513981,4,0.25030364561217067,0.8089430894308943,8,51,0.0012097093008727553,8,2,104,117,28,14,5,0.530735945819569,0.0013827689867263269
27,1.0501685504659926,3,0.21917205620891578,0.8130081300813008,10,158,0.00212944225739398,8,2,92,101,31,12,4,0.536984562869097,0.006508638077064422
14,1.0413082490581003,3,0.3194220094569591,0.806910569105691,11,139,0.0011065558219777612,18,3,97,125,23,25,3,0.3633195290070186,0.0070874860044186465
26,1.0329511203648623,3,0.16599959808966958,0.8008130081300813,9,117,0.002723447565715338,8,2,149,99,32,12,4,0.5410484480520058,0.004032012943273227
29,0.9883293674400158,2,0.07672762853275644,0.7764227642276422,7,111,0.008586114804740962,5,2,69,87,27,21,4,0.5119504241408641,0.0038643651653193596
25,0.9835083283759668,3,0.24176316434943135,0.7682926829268293,7,115,0.0017943494497780362,9,2,154,102,29,13,5,0.5247223552732888,0.00040153031126166855
18,0.8189024390243903,1,0.1300625617385578,0.8028455284552846,11,174,0.010653744895755308,16,3,134,154,20,32,3,0.4199847990913836,0.007824297180701444
15,0.8168292682926829,1,0.12888452731436048,0.8008130081300813,12,148,0.01027846288466705,17,3,117,136,21,27,3,0.34168069772458004,0.007430158656829919
31,0.8126829268292683,1,0.19075425790754258,0.7967479674796748,6,88,0.007206357051161737,7,1,74,182,24,21,4,0.13249496164558294,0.0032702889098899
16,0.8106097560975609,1,0.116751269035533,0.7947154471544715,12,142,0.010813763093077803,19,3,118,121,21,24,3,0.3293517036604349,0.007560360294507944
20,0.7940243902439025,1,0.3290378006872852,0.7784552845528455,4,177,0.004065638429662589,15,3,58,160,10,32,8,0.44441230563208767,0.009779147046084256
6,0.7732926829268293,1,0.06215630728211965,0.758130081300813,9,70,0.017438906165593775,12,1,242,54,16,8,6,0.7463780052722131,0.0018062012442863547
22,0.765,1,0.31297709923664124,0.75,4,119,0.004137357310454408,15,3,148,163,33,31,7,0.2468068612041601,0.004630524601954952
7,0.7608536585365854,1,0.08434842564927603,0.7459349593495935,9,34,0.015162465662324837,6,1,182,50,25,29,5,0.11274469414383148,0.008421379623743468
28,0.7484146341463415,1,0.4924965893587995,0.733739837398374,9,158,0.00257189143021794,8,2,104,103,28,11,4,0.5300865666908631,0.006306776188951877
23,0.7421951219512195,1,0.3094209161624892,0.7276422764227642,4,122,0.004061161528428074,15,3,83,95,18,35,7,0.2535813154815978,0.00430819860911676
17,0.7359756097560975,1,0.11090284286160575,0.7215447154471545,12,142,0.011150392931407734,19,3,128,146,10,25,3,0.36167132963255333,0.0076485395491898275
21,0.7007317073170732,1,0.20980757293606456,0.6869918699186992,4,124,0.0056542794257757245,15,3,148,155,18,31,7,0.23921112483423423,0.0045492741827265655
0,0.6779268292682927,1,0.22064777327935223,0.6646341463414634,3,59,0.005202355100788661,6,2,71,190,21,33,13,0.7316249460683517,0.005917950831397339
30,0.6281707317073171,1,0.14407988587731813,0.6158536585365854,7,110,0.007361016485108944,5,1,75,84,24,21,4,0.670470567716027,0.0037222267164045736
3,0.5991463414634146,1,0.0673973880597015,0.5873983739837398,7,105,0.014965736880338795,12,1,245,133,32,7,5,0.6314644499334419,0.002655763266918838
1,0.0,0,0,0.0,7,131,0.004458444653010014,11,2,192,42,16,13,6,0.20446436405605806,0.00028025043992225624
2,0.0,0,0,0.0,6,163,0.01798092313888872,12,2,182,72,14,5,9,0.557365468308154,0.002850438374782671
4,0.0,0,0,0.0,5,100,0.014077759712184331,9,3,242,74,15,19,15,0.39026859879641895,0.0067122117748173215
9,0.0,0,0,0.0,15,74,0.007606628150106478,6,2,299,50,29,38,10,0.46709925534462693,0.009152271699985793
10,0.0,0,0,0.0,15,197,0.01737505565735939,10,2,159,53,37,19,13,0.2569504827017498,0.004489714534977877
11,0.0,0,0,0.0,13,31,0.019521692990311628,12,3,263,120,37,17,13,0.30936069931824905,0.005498601132418171
12,0.0,0,0,0.0,14,96,0.01648784616676103,14,1,191,165,25,27,10,0.18118232877340368,0.005472497604773956
19,0.0,0,0,0.0,11,176,0.011349203467637186,20,3,50,102,10,22,8,0.4462615620321744,0.00968289386839186
