Run,Iteration,Rule,Subset_Size,Fraud_Rate,Fraud_Count,Fitness_Score
3,1,V2 > 0.6867713983784335; V4 > 0.2482828618264712; V10 < 0.5341021275967641; V11 > 0.39249191475356593,5096,0.07515698587127159,383,104.99858856201172
2,1,V2 > 0.6861821738428712; V4 > 0.33959358002372453; V11 > 0.3083787401169874; V25 > 0.29013124146254543,5279,0.07236218980867588,382,102.75885009765625
1,1,V2 > 0.7869702718927071; V4 > 0.25939720494783114; V8 > 0.3448360030082608; V20 > 0.5416359131930816,5144,0.05851477449455676,301,72.8113784790039
4,1,V4 > 0.4158712354200309; V10 < 0.5594390721482766; V20 > 0.5473985816701228; V24 > 0.21782347864114215,5093,0.05438837620263106,277,64.60004425048828
4,2,V2 > 0.7686895501476627; V11 > 0.5750477259238395; V23 > 0.6012745109471802,6138,0.020039100684261974,123,17.413240432739258
1,2,V3 > 0.6695906359300521; V10 < 0.3372220178262233; V23 > 0.473456821066747; V27 > 0.31049671724740535,4991,0.022841114005209377,114,17.229137420654297
2,2,Default: Catch-all,279528,0.00039352050599582154,110,
3,2,Default: Catch-all,279711,0.000389687927897008,109,
4,3,Default: Catch-all,273576,0.00033628680878439627,92,
1,3,Default: Catch-all,274672,0.0002803343624395643,77,
