Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value,LESS_LOOKUP_RULE_POSITION
22,1.1103234681737062,6,0.17058213524466537,0.8353658536585366,9,43,0.001013128788675705,17,3,128,200,30,18,5,0.35571863405233917,0.00808425620946047,7
37,1.0988776521911563,3,0.18928464868577344,0.8455284552845529,6,55,0.0025259015867987213,11,3,197,112,36,33,5,0.7847681761224078,0.0073216135753987254,4
39,1.0965060479873092,4,0.16155770687892404,0.8313008130081301,5,56,0.0022215690476117276,17,3,105,180,29,31,3,0.7889272879541962,0.005821597530088628,4
15,1.090548780487805,4,0.21870451429988763,0.8333333333333334,8,39,0.0016143163121179792,20,3,294,145,18,39,5,0.7660644811970617,0.009472392097229325,3
54,1.0882629387269482,4,0.24376748691740216,0.8292682926829268,7,38,0.001168451260562139,20,1,275,120,15,39,5,0.7746604677732291,0.009954146727840433,3
34,1.0871980963712076,3,0.17650376487699213,0.8353658536585366,6,62,0.0026960053500563195,16,3,142,170,31,25,3,0.7985733116053432,0.006987158424421587,4
57,1.0787552052349791,4,0.24649126171670166,0.823170731707317,10,39,0.001192651481374453,20,3,136,143,12,39,5,0.7741524453889796,0.009797233696208087,3
16,1.049672813801309,3,0.30210187861884197,0.8130081300813008,8,30,0.0013526283840787686,19,3,297,136,18,39,5,0.7717133420904896,0.009883112040376786,3
17,1.0413082490581003,3,0.2769719328746724,0.806910569105691,7,30,0.0015623712467986962,9,3,52,134,40,24,5,0.6070164469430914,0.006692147512045578,3
42,1.0345183918302598,2,0.042967421422931466,0.806910569105691,4,93,0.011451425627467472,12,3,197,108,30,29,4,0.10368947107718823,0.005620378596909065,6
44,1.0345183918302598,2,0.1652446390818484,0.806910569105691,5,43,0.004209363854610557,12,3,105,104,32,27,3,0.7009230557078682,0.005645584472424101,4
12,1.031421772754313,2,0.1916560050796539,0.8048780487804879,6,47,0.0023085418832862843,17,3,57,69,26,24,6,0.722644533053605,0.003308017305826949,7
56,1.031421772754313,2,0.4328049049933716,0.8048780487804879,8,40,0.0014019835128105415,20,3,131,119,14,38,5,0.7525824763610686,0.009942258334833283,3
58,1.0290077830656357,3,0.26512387485510747,0.806910569105691,8,41,0.0017381117984805942,18,3,277,143,15,39,5,0.7809675627171685,0.008502533767508738,3
21,1.0283276323616894,2,0.17078691146834674,0.8028455284552846,7,84,0.0038915189052117216,11,3,55,113,34,23,6,0.6686358691700239,0.001756468277433353,3
25,1.0283276323616894,2,0.26426911641727463,0.8028455284552846,9,49,0.0025992315998266797,18,3,86,158,28,19,4,0.6685075958262348,0.0022987526183509766,4
35,1.0283276323616894,2,0.2552231861937851,0.8028455284552846,6,57,0.0027142886106964526,16,3,298,172,37,33,3,0.7988240418663112,0.007343930628809893,4
36,1.0283276323616894,2,0.22024196987721936,0.8028455284552846,6,68,0.0031474067747207534,16,3,146,172,37,34,5,0.6205056261590314,0.00707155319618999,4
55,1.0275089232599643,3,0.3298966192111354,0.7947154471544715,10,38,0.0011387814186721297,20,1,133,121,20,39,5,0.7623250572342818,0.009959049969218986,3
26,1.0128941106484237,2,0.08788555313187883,0.7926829268292683,9,32,0.007781552808092089,18,2,260,158,18,37,4,0.3729546389504156,0.008737027941235112,3
13,1.002033016061868,4,0.14949641829758306,0.7865853658536586,8,146,0.0015809351335656745,20,3,278,40,40,40,4,0.7645675844663065,0.009507389981447116,7
38,0.9791584870116996,2,0.21993198869075448,0.7703252032520326,5,57,0.002805998716194907,17,3,105,173,36,5,3,0.7974273235065126,0.007623514487630074,4
23,0.9708487011699387,3,0.1110134143084059,0.7642276422764228,10,50,0.0037055627684030833,15,2,124,126,27,17,5,0.5296848593601089,0.007786694524860159,5
62,0.9578465199286139,2,0.2701175794583283,0.7560975609756098,7,50,0.002370409533741565,9,1,285,124,14,28,4,0.7834305572953012,0.00762951339528769,7
47,0.9518552944675789,4,0.15005823422833453,0.741869918699187,5,56,0.0020992308343701837,17,3,150,95,33,21,4,0.4129038298510586,0.008156555756636683,6
59,0.9517796946262146,2,0.2980857889154003,0.7520325203252033,8,165,0.0021704990219457575,18,3,280,146,12,40,4,0.7842275219882126,0.009475272602662035,4
7,0.9487500000000001,2,0.16740867579908678,0.75,15,44,0.003844234114540956,8,1,169,131,16,29,5,0.7145860353598618,0.008287969398326406,4
51,0.9336387071187785,2,0.28867275878114923,0.7398373983739838,7,56,0.0021337702451657324,17,3,153,165,25,35,6,0.26177905387875766,0.006252374734262698,8
19,0.9213255998413644,4,0.26715612592280674,0.7235772357723578,7,136,0.0010003103957455855,18,3,293,64,40,23,6,0.7334333415970274,0.009799987715476834,7
45,0.891656751933373,2,0.1463882236059538,0.7113821138211383,5,43,0.004131542032425949,11,3,99,105,32,26,3,0.41286521900870854,0.00804409934208742,6
46,0.8886766309736269,2,0.1373988217244255,0.709349593495935,5,42,0.004317299843579198,11,3,72,97,32,19,3,0.7050577437409901,0.00811217935210379,6
33,0.8354583085465002,2,0.16940854757828716,0.6727642276422764,11,74,0.0029193385906068877,16,3,142,200,31,11,8,0.29448029469268416,0.009228745946736781,5
28,0.8002439024390244,1,0.16538131962296487,0.7845528455284553,8,31,0.008189546529725318,19,3,265,143,17,37,7,0.3562994604113493,0.008710205538569937,3
27,0.7960975609756098,1,0.16901408450704225,0.7804878048780488,9,30,0.007973572715941925,18,3,264,155,17,37,4,0.6731282337186183,0.008799891104843654,3
32,0.7774390243902439,1,0.2511721366376423,0.7621951219512195,11,84,0.005229972686318479,19,2,300,199,31,11,7,0.3077354403697145,0.009346021536339169,9
6,0.7732926829268293,1,0.0266733409610984,0.758130081300813,4,195,0.01992982443092096,12,2,197,137,21,35,13,0.7375836064678366,0.0030503910783562524,5
40,0.7732926829268293,1,0.1005933117583603,0.758130081300813,13,95,0.012944856856351066,14,3,196,183,29,32,3,0.1856179110404012,0.005673404988793051,4
41,0.7732926829268293,1,0.11882765211850908,0.758130081300813,4,100,0.010994081385799902,14,3,189,182,29,30,4,0.20720148406919944,0.00624381251311661,4
29,0.7691463414634147,1,0.2607167955024596,0.7540650406504065,8,83,0.004990547744891478,19,2,261,184,21,37,7,0.36020417392842735,0.008967423209004375,3
24,0.7670731707317073,1,0.3432282003710575,0.7520325203252033,10,47,0.0037840569587761818,15,3,122,130,18,14,5,0.5381634096889525,0.008130352875221934,3
50,0.7525609756097561,1,0.18779099844800828,0.7378048780487805,6,56,0.006784098435594169,13,3,152,189,25,35,8,0.2735840340342041,0.006542215025837699,8
53,0.7484146341463415,1,0.3776150627615063,0.733739837398374,7,67,0.003352162754613622,13,1,160,179,25,32,8,0.7641900604700388,0.007191360508178585,8
2,0.7463414634146341,1,0.1290785227680172,0.7317073170731707,5,66,0.009689182209531397,17,3,157,169,22,7,9,0.22700476426576963,0.00022964755169246534,4
5,0.7463414634146341,1,0.12968299711815562,0.7317073170731707,12,109,0.009745087190335459,7,1,218,186,24,15,8,0.33716585844752145,0.006845283604982257,9
