Run,Iteration,Rule,Subset_Size,Fraud_Rate,Fraud_Count,Fitness_Score
4,1,V5 > 0.6163477707197244; V10 < 0.4573533511811556; V11 > 0.3969817111606553,410,0.8414634146341463,345,316.4730529785156
final,7,Default: Catch-all,283316,0.0002894294709794011,82,
3,1,V3 > 0.2922194816977369; V10 < 0.44914579006872024; V16 < 0.41782184137183376,59,0.3220338983050847,19,298.4770812988281
3,3,V17 > 0.7112956612050069; V19 < 0.5882904919687246; V22 < 0.5024642475987657,312,0.05448717948717949,17,4.666326522827148
2,2,V10 < 0.3270562304629002; V16 < 0.21400391477224812; V26 > 0.2521793760371991,233,0.060085836909871244,14,8.529996871948242
4,4,V1 < 0.9438246760058571; V11 > 0.5114149199359531; V16 < 0.17566675700265455,353,0.036827195467422094,13,2.225465774536133
1,2,V17 > 0.7163836198889093; V21 > 0.5808414054869431; V24 > 0.21891259949595487,124,0.016129032258064516,2,3.8473405838012695
